"game_type","game_id","away_team","home_team"
"season","0021700001","BOS","CLE"
"season","0021700002","HOU","GSW"
"season","0021700003","CHA","DET"
"season","0021700004","BKN","IND"
"season","0021700005","MIA","ORL"
"season","0021700006","PHI","WAS"
"season","0021700007","MIL","BOS"
"season","0021700008","NOP","MEM"
"season","0021700009","ATL","DAL"
"season","0021700010","DEN","UTA"
"season","0021700011","MIN","SAS"
"season","0021700012","POR","PHX"
"season","0021700013","HOU","SAC"
"season","0021700014","CHI","TOR"
"season","0021700015","NYK","OKC"
"season","0021700016","LAC","LAL"
"season","0021700017","ATL","CHA"
"season","0021700018","POR","IND"
"season","0021700019","BOS","PHI"
"season","0021700020","DET","WAS"
"season","0021700021","CLE","MIL"
"season","0021700022","ORL","BKN"
"season","0021700023","UTA","MIN"
"season","0021700024","SAC","DAL"
"season","0021700025","GSW","NOP"
"season","0021700026","LAL","PHX"
"season","0021700027","PHI","TOR"
"season","0021700028","ORL","CLE"
"season","0021700029","IND","MIA"
"season","0021700030","DET","NYK"
"season","0021700031","SAS","CHI"
"season","0021700032","DAL","HOU"
"season","0021700033","GSW","MEM"
"season","0021700034","POR","MIL"
"season","0021700035","SAC","DEN"
"season","0021700036","OKC","UTA"
"season","0021700037","PHX","LAC"
"season","0021700038","ATL","BKN"
"season","0021700039","MIN","OKC"
"season","0021700040","NOP","LAL"
"season","0021700041","PHI","DET"
"season","0021700042","ATL","MIA"
"season","0021700043","MEM","HOU"
"season","0021700044","CHA","MIL"
"season","0021700045","GSW","DAL"
"season","0021700046","TOR","SAS"
"season","0021700047","WAS","DEN"
"season","0021700048","SAC","PHX"
"season","0021700049","CHI","CLE"
"season","0021700050","BKN","ORL"
"season","0021700051","NYK","BOS"
"season","0021700052","IND","MIN"
"season","0021700053","NOP","POR"
"season","0021700054","UTA","LAC"
"season","0021700055","DEN","CHA"
"season","0021700056","MIN","DET"
"season","0021700057","HOU","PHI"
"season","0021700058","CLE","BKN"
"season","0021700059","SAS","MIA"
"season","0021700060","IND","OKC"
"season","0021700061","MEM","DAL"
"season","0021700062","UTA","PHX"
"season","0021700063","TOR","GSW"
"season","0021700064","WAS","LAL"
"season","0021700065","ATL","CHI"
"season","0021700066","DAL","MEM"
"season","0021700067","BOS","MIL"
"season","0021700068","LAC","POR"
"season","0021700069","NOP","SAC"
"season","0021700070","HOU","CHA"
"season","0021700071","SAS","ORL"
"season","0021700072","DEN","ATL"
"season","0021700073","BKN","NYK"
"season","0021700074","OKC","MIN"
"season","0021700075","WAS","GSW"
"season","0021700076","TOR","LAL"
"season","0021700077","CLE","NOP"
"season","0021700078","BOS","MIA"
"season","0021700079","OKC","CHI"
"season","0021700080","HOU","MEM"
"season","0021700081","PHI","DAL"
"season","0021700082","LAL","UTA"
"season","0021700083","PHX","POR"
"season","0021700084","DET","LAC"
"season","0021700085","MIL","ATL"
"season","0021700086","SAS","IND"
"season","0021700087","DEN","BKN"
"season","0021700088","ORL","CHA"
"season","0021700089","WAS","SAC"
"season","0021700090","NYK","CLE"
"season","0021700091","DET","GSW"
"season","0021700092","SAS","BOS"
"season","0021700093","MIN","MIA"
"season","0021700094","DEN","NYK"
"season","0021700095","PHI","HOU"
"season","0021700096","CHA","MEM"
"season","0021700097","ORL","NOP"
"season","0021700098","DAL","UTA"
"season","0021700099","TOR","POR"
"season","0021700100","GSW","LAC"
"season","0021700101","SAC","IND"
"season","0021700102","PHX","BKN"
"season","0021700103","OKC","MIL"
"season","0021700104","DET","LAL"
"season","0021700105","MIL","CHA"
"season","0021700106","IND","CLE"
"season","0021700107","ATL","PHI"
"season","0021700108","PHX","WAS"
"season","0021700109","SAC","BOS"
"season","0021700110","CHI","MIA"
"season","0021700111","HOU","NYK"
"season","0021700112","ORL","MEM"
"season","0021700113","MIN","NOP"
"season","0021700114","TOR","DEN"
"season","0021700115","POR","UTA"
"season","0021700116","DAL","LAC"
"season","0021700117","GSW","SAS"
"season","0021700118","LAL","POR"
"season","0021700119","MIL","DET"
"season","0021700120","CHI","ORL"
"season","0021700121","IND","PHI"
"season","0021700122","CLE","WAS"
"season","0021700123","HOU","ATL"
