"game_id","player","team","seconds","plus.minus","adj.plus.minus"
"0021700007","Abdel Nader","BOS",686,-5,-20.9912536443149
"0021700019","Abdel Nader","BOS",418,0,0
"0021700051","Abdel Nader","BOS",260,-2,-22.1538461538462
"0021700092","Abdel Nader","BOS",299,0,0
"0021700109","Abdel Nader","BOS",784,-3,-11.0204081632653
"0021700138","Abdel Nader","BOS",125,-5,-115.2
"0021700146","Abdel Nader","BOS",314,0,0
"0021700170","Abdel Nader","BOS",507,-7,-39.7633136094675
"0021700249","Abdel Nader","BOS",226,-5,-63.716814159292
"0021700269","Abdel Nader","BOS",189,-1,-15.2380952380952
"0021700281","Abdel Nader","BOS",795,-9,-32.6037735849057
"0021700356","Abdel Nader","BOS",421,-6,-41.0451306413302
"0021700391","Abdel Nader","BOS",972,-21,-62.2222222222222
"0021700423","Abdel Nader","BOS",65,-2,-88.6153846153846
"0021700436","Abdel Nader","BOS",28,-1,-102.857142857143
"0021700468","Abdel Nader","BOS",694,-5,-20.7492795389049
"0021700485","Abdel Nader","BOS",872,8,26.4220183486239
"0021700517","Abdel Nader","BOS",1256,-2,-4.5859872611465
"0021700559","Abdel Nader","BOS",159,-6,-108.679245283019
"0021700614","Abdel Nader","BOS",107,-7,-188.411214953271
"0021700663","Abdel Nader","BOS",200,-1,-14.4
"0021700709","Abdel Nader","BOS",437,4,26.3615560640732
"0021700758","Abdel Nader","BOS",1698,23,39.0106007067138
"0021700767","Abdel Nader","BOS",1608,-14,-25.0746268656716
"0021700784","Abdel Nader","BOS",1187,-5,-12.1314237573715
"0021700798","Abdel Nader","BOS",855,5,16.8421052631579
"0021700820","Abdel Nader","BOS",199,0,0
"0021700835","Abdel Nader","BOS",632,3,13.6708860759494
"0021700873","Abdel Nader","BOS",120,-3,-72
"0021700898","Abdel Nader","BOS",110,-3,-78.5454545454545
"0021700916","Abdel Nader","BOS",668,5,21.5568862275449
"0021700953","Abdel Nader","BOS",720,-17,-68
"0021700998","Abdel Nader","BOS",463,-6,-37.3218142548596
"0021701017","Abdel Nader","BOS",1435,1,2.00696864111498
"0021701029","Abdel Nader","BOS",1415,-9,-18.3180212014134
"0021701047","Abdel Nader","BOS",1292,0,0
"0021701059","Abdel Nader","BOS",1100,6,15.7090909090909
"0021701086","Abdel Nader","BOS",407,-3,-21.2285012285012
"0021701099","Abdel Nader","BOS",728,-11,-43.5164835164835
"0021701107","Abdel Nader","BOS",1002,7,20.1197604790419
"0021701121","Abdel Nader","BOS",944,-4,-12.2033898305085
"0021701140","Abdel Nader","BOS",422,4,27.2985781990521
"0021701162","Abdel Nader","BOS",640,-5,-22.5
"0021701171","Abdel Nader","BOS",319,-10,-90.282131661442
"0021701185","Abdel Nader","BOS",395,-9,-65.620253164557
"0021701202","Abdel Nader","BOS",623,-7,-32.3595505617978
"0021701215","Abdel Nader","BOS",179,5,80.4469273743017
"0021701219","Abdel Nader","BOS",2315,19,23.6371490280778
"0021700001","Al Horford","BOS",1925,4,5.98441558441558
"0021700007","Al Horford","BOS",2006,1,1.43569292123629
"0021700019","Al Horford","BOS",2185,5,6.59038901601831
"0021700051","Al Horford","BOS",1722,11,18.397212543554
"0021700067","Al Horford","BOS",2054,5,7.01071080817916
"0021700078","Al Horford","BOS",2053,5,7.01412566975158
"0021700092","Al Horford","BOS",1791,19,30.5527638190955
"0021700109","Al Horford","BOS",1532,19,35.7180156657963
"0021700129","Al Horford","BOS",2064,11,15.3488372093023
"0021700138","Al Horford","BOS",1733,8,13.2948643969994
"0021700146","Al Horford","BOS",1995,10,14.4360902255639
"0021700188","Al Horford","BOS",2002,3,4.31568431568432
"0021700201","Al Horford","BOS",1827,20,31.5270935960591
"0021700215","Al Horford","BOS",2108,15,20.4933586337761
"0021700230","Al Horford","BOS",1957,5,7.35820132856413
"0021700249","Al Horford","BOS",2322,14,17.3643410852713
"0021700257","Al Horford","BOS",2107,8,10.9349786426198
"0021700269","Al Horford","BOS",1562,18,33.1882202304738
"0021700281","Al Horford","BOS",1904,12,18.1512605042017
"0021700292","Al Horford","BOS",2022,-12,-17.0919881305638
"0021700314","Al Horford","BOS",2034,10,14.1592920353982
"0021700326","Al Horford","BOS",1933,-2,-2.97982410760476
"0021700343","Al Horford","BOS",2080,20,27.6923076923077
"0021700356","Al Horford","BOS",1959,8,11.7611026033691
"0021700374","Al Horford","BOS",2126,8,10.8372530573848
"0021700386","Al Horford","BOS",2018,7,9.99008919722498
"0021700391","Al Horford","BOS",1889,-6,-9.14769719428269
"0021700423","Al Horford","BOS",2064,-3,-4.18604651162791
"0021700436","Al Horford","BOS",1952,-1,-1.47540983606557
"0021700442","Al Horford","BOS",2147,14,18.7796925943177
"0021700456","Al Horford","BOS",1595,-12,-21.6677115987461
"0021700468","Al Horford","BOS",1955,-1,-1.47314578005115
"0021700485","Al Horford","BOS",1664,21,36.3461538461538
"0021700495","Al Horford","BOS",2048,-21,-29.53125
"0021700506","Al Horford","BOS",2160,14,18.6666666666667
"0021700517","Al Horford","BOS",1989,-6,-8.68778280542986
"0021700539","Al Horford","BOS",1829,2,3.14926189174412
"0021700559","Al Horford","BOS",1739,7,11.5928694652099
"0021700570","Al Horford","BOS",1881,-4,-6.1244019138756
"0021700614","Al Horford","BOS",2093,32,44.0324892498806
"0021700650","Al Horford","BOS",2250,-1,-1.28
"0021700663","Al Horford","BOS",2095,0,0
"0021700683","Al Horford","BOS",1963,4,5.86856851757514
"0021700700","Al Horford","BOS",1906,3,4.53305351521511
"0021700728","Al Horford","BOS",2056,5,7.00389105058366
"0021700743","Al Horford","BOS",1942,-11,-16.313079299691
"0021700758","Al Horford","BOS",1408,10,20.4545454545455
"0021700767","Al Horford","BOS",1734,-1,-1.66089965397924
"0021700784","Al Horford","BOS",2177,-3,-3.96876435461644
"0021700798","Al Horford","BOS",1466,-16,-31.4324693042292
"0021700813","Al Horford","BOS",2071,0,0
"0021700820","Al Horford","BOS",1741,-9,-14.8879954049397
"0021700835","Al Horford","BOS",1445,-12,-23.916955017301
"0021700858","Al Horford","BOS",2124,-12,-16.271186440678
